ID,token,ner_tag
6982,Imitation,B-Product
6982,Volcano,I-Product
6982,Humidifier,I-Product
6982,with,O
6982,LED,O
6982,Light,O
6982,በኤሌክትሪክ:የሚሰራ,O
6982,ለቤት,O
6982,መልካም,O
6982,መዓዛን,O
6982,የሚሰጥ,O
6982,ዋጋ፦,B-PRICE
6982,1400,I-PRICE
6982,ብር,I-PRICE
6982,ውስን,O
6982,ፍሬ,O
6982,ነው,O
6982,ያለን,O
6982,አድራሻ,O
6982,#መገናኛ_መሰረት_ደፋር_ሞል_ሁለተኛ_ፎቅ,B-LOC
6982,ቢሮ,I-LOC
6982,ቁ.,I-LOC
6982,S05/S06,I-LOC
6982,0902660722,B-CONTACT
6982,0928460606,B-CONTACT
6982,በTelegram,O
6982,ለማዘዝ,O
6982,ይጠቀሙ,O
6982,@zemencallcenter,B-CONTACT
6982,@zemenexpressadmin,B-CONTACT
6982,ለተጨማሪ,O
6982,ማብራሪያ,O
6982,የቴሌግራም,O
6982,ገፃችን,O
6982,https://telegram.me/zemenexpress,B-CONTACT
6981,Baby,B-Product
6981,Carrier,I-Product
6981,በፈለጉት,O
6981,አቅጣጫ,O
6981,ልጅዎን,O
6981,በምቾት,O
6981,ማዘል,O
6981,ያስችልዎታል,O
6981,ዋጋ፦,B-PRICE
6981,2400,I-PRICE
6981,ብር,I-PRICE
6981,ውስን,O
6981,ፍሬ,O
6981,ነው,O
6981,ያለን,O
6981,አድራሻ,O
6981,#መገናኛ_መሰረት_ደፋር_ሞል_ሁለተኛ_ፎቅ,B-LOC
6981,ቢሮ,I-LOC
6981,ቁ.,I-LOC
6981,S05/S06,I-LOC
6981,0902660722,B-CONTACT
6981,0928460606,B-CONTACT
6981,በTelegram,O
6981,ለማዘዝ,O
6981,ይጠቀሙ,O
6981,@zemencallcenter,B-CONTACT
6981,@zemenexpressadmin,B-CONTACT
6981,ለተጨማሪ,O
6981,ማብራሪያ,O
6981,የቴሌግራም,O
6981,ገፃችን,O
6981,https://telegram.me/zemenexpress,B-CONTACT
6973,Smart,B-Product
6973,Usb,I-Product
6973,Ultrasonic,I-Product
6973,Car,I-Product
6973,And,I-Product
6973,Home,I-Product
6973,Air,I-Product
6973,Humidifier,I-Product
6973,With,O
6973,Colorful,O
6973,Led,O
6973,Light,O
6973,Original,O
6973,High-quality,O
6973,በኤሌክትሪክ,O
6973,የሚሰራ,O
6973,ለቤትና,O
6973,ለመኪና,O
6973,መልካም,O
6973,መዓዛን,O
6973,የሚሰጥ,O
6973,Elevate,O
6973,the,O
6973,comfort,O
6973,level,O
6973,within,O
6973,your,O
6973,living,O
6973,premises,O
6973,with,O
6973,this,O
6973,fantastic,O
6973,Green,B-Product
6973,Lion,I-Product
6973,Air,I-Product
6973,Mist,I-Product
6973,Humidifier.,I-Product
6973,ዋጋ፦,B-PRICE
6973,1100,I-PRICE
6973,ብር,I-PRICE
6973,ውስን,O
6973,ፍሬ,O
6973,ነው,O
6973,ያለን,O
6973,አድራሻ,O
6973,#መገናኛ_መሰረት_ደፋር_ሞል_ሁለተኛ_ፎቅ,B-LOC
6973,ቢሮ,I-LOC
6973,ቁ.,I-LOC
6973,S05/S06,I-LOC
6973,0902660722,B-CONTACT
6973,0928460606,B-CONTACT
6973,በTelegram,O
6973,ለማዘዝ,O
6973,ይጠቀሙ,O
6973,@zemencallcenter,B-CONTACT
6973,@zemenexpressadmin,B-CONTACT
6973,ለተጨማሪ,O
6973,ማብራሪያ,O
6973,የቴሌግራም,O
6973,ገፃችን,O
6973,https://telegram.me/zemenexpress,B-CONTACT
6972,Smart,B-Product
6972,Usb,I-Product
6972,Ultrasonic,I-Product
6972,Car,I-Product
6972,And,I-Product
6972,Home,I-Product
6972,Air,I-Product
6972,Humidifier.,I-Product
6972,With,O
6972,Colorful,O
6972,Led,O
6972,Light,O
6972,Original,O
6972,High-quality,O
6972,በኤሌክትሪክ,O
6972,የሚሰራ,O
6972,ለቤትና,O
6972,ለመኪና,O
6972,መልካም,O
6972,መዓዛን,O
6972,የሚሰጥ,O
6972,Elevate,O
6972,the,O
6972,comfort,O
6972,level,O
6972,within,O
6972,your,O
6972,living,O
6972,premises,O
6972,with,O
6972,this,O
6972,fantastic,O
6972,Green,B-Product
6972,Lion,I-Product
6972,Air,I-Product
6972,Mist,I-Product
6972,Humidifier.,I-Product
6972,ዋጋ፦,B-PRICE
6972,1100,I-PRICE
6972,ብር,I-PRICE
6972,ውስን,O
6972,ፍሬ,O
6972,ነው,O
6972,ያለን,O
6972,አድራሻ,O
6972,#መገናኛ_መሰረት_ደፋር_ሞል_ሁለተኛ_ፎቅ,B-LOC
6972,ቢሮ,I-LOC
6972,ቁ.,I-LOC
6972,S05/S06,I-LOC
6972,0902660722,B-CONTACT
6972,0928460606,B-CONTACT
6972,በTelegram,O
6972,ለማዘዝ,O
6972,ይጠቀሙ,O
6972,@zemencallcenter,B-CONTACT
6972,@zemenexpressadmin,B-CONTACT
6972,ለተጨማሪ,O
6972,ማብራሪያ,O
6972,የቴሌግራም,O
6972,ገፃችን,O
6972,https://telegram.me/zemenexpress,B-CONTACT
6970,Baby,B-Product
6970,Head,I-Product
6970,Helmet,I-Product
6970,Cotton,I-Product
6970,Walk,I-Product
6970,Safety,I-Product
6970,Hat,I-Product
6970,Breathable,I-Product
6970,Headgear,I-Product
6970,Toddler,I-Product
6970,Antifall,I-Product
6970,Pad,I-Product
6970,This,O
6970,product,O
6970,is,O
6970,made,O
6970,of,O
6970,non-toxic,O
6970,cotton,O
6970,material.,O
6970,It,O
6970,can,O
6970,be,O
6970,adjustable,O
6970,to,O
6970,fits,O
6970,all,O
6970,the,O
6970,different,O
6970,size,O
6970,of,O
6970,head.,O
6970,The,O
6970,product,O
6970,is,O
6970,also,O
6970,breathable,O
6970,and,O
6970,the,O
6970,baby's,O
6970,head,O
6970,will,O
6970,not,O
6970,be,O
6970,sultry,O
6970,and,O
6970,muggy,O
6970,when,O
6970,playing.,O
6970,ዋጋ፦,B-PRICE
6970,550,I-PRICE
6970,ብር,I-PRICE
6970,ውስን,O
6970,ፍሬ,O
6970,ነው,O
6970,ያለን,O
6970,አድራሻ,O
6970,#መገናኛ_መሰረት_ደፋር_ሞል_ሁለተኛ_ፎቅ,O
6970,ቢሮ,O
6970,ቁ.,O
6970,S05/S06,O
6970,0902660722,O
